,count_of_sizes,colors,product_code
0,6,"['BROWN_MAROON', 'YELLOW_OLIVE']",FLC0310S2602A
1,6,"['LGREY', 'KHAKI', 'BROWN']",FLC015044221A
2,6,"['DCADET_BLUE', 'CAMEL']",FLC0H9026391B
3,6,"['VARIGLIA', 'LPINK', 'AIR_BLUE']",FLC051044211A
4,6,['DBLUE'],FGC0AI024031B
5,6,"['WHITE', 'BLACK']",FLC0310S2622A
6,6,"['WHITE', 'BLACK']",FLC0260S2522A
7,6,"['BLACK', 'WHITE']",FLC0310S2532A
8,6,"['GREY_GREEN', 'WHITE_LGREY']",FLC0IA0AR972A
9,6,"['MAROON', 'BEIGE', 'BLUE']",FLC0310S2612A
10,6,"['DESERT_ROSE', 'GREY', 'DSKY_BLUE']",FLC0AX032671A
11,6,"['BLACK_PURPLE', 'WHITE_PINK']",FLC0DN0AR952A
12,6,"['GREY', 'WHITE_PINK']",FLC0DY0AR942A
13,6,"['PINK_BLUE', 'GREEN_ORANGE']",FLC0DN0AR932A
14,6,"['PINK', 'GREEN']",FLC0260S2552A
15,6,"['WHITE', 'RUST']",FLC0H40S9652A
16,6,"['WHITE', 'PINK']",FLC0H40R1972A
17,6,['TAN'],FLC0Z3024031B
18,6,"['WHITE', 'BLUE']",FLC0510R1982A
19,6,"['BLUE', 'GREEN']",FLC0H40S7612A
20,6,"['FUSCHIA', 'WHITE']",FLC0H40S9662A
21,6,['WHITE_PURPLE'],FLC0IA0AR992A
22,6,['CAMEL'],FLC051016461A
23,5,"['LBLUE', 'RUST']",FLC0310T9022A
24,6,"['BLACK', 'GREY']",FLC0H40R1952A
25,4,"['GREY', 'BLUE']",FLC0310T9062A
26,6,"['PURPLE_GREY', 'BEIGE_PURPLE']",FLC0510R1962A
27,6,"['NAVY', 'WINE_RED']",FLC0H40S7582A
28,6,"['RED', 'BLUE']",FLC0260U2632A
29,6,"['DBLUE', 'LBEIGE']",FLC0AI027271A
30,6,"['PINK', 'GREY']",FLC0H40T3272A
31,6,"['GREY', 'BLUE']",FLC0310T9032A
32,6,"['GREY', 'BLUE']",FLC0H40S7602A
33,6,"['RUST_BROWN', 'BLACK']",FLC0AR028921A
34,6,"['BLACK', 'DROYAL_BLUE']",FLC0H9025631B
35,6,['BLUE'],FLC0150S0142A
36,6,['BLUE'],FLC0180T0952A
37,4,['WHITE'],FLC0310V3382A
38,6,"['BLUE', 'OWHITE', 'BLACK']",FLC0BA025011A
39,5,"['BLACK', 'WHITE_BLACK']",FLC0H40U6372A
40,6,['PINK'],FLC0H40T0772A
41,6,['WHITE_RED'],FLC0180U6602A
42,5,"['BLUE', 'GREY']",FLC0H40S7592A
43,6,['PURPLE'],FLC0H40T0782A
44,6,['LPINK'],FLC0510T0802A
45,3,"['BLACK', 'LBEIGE', 'NAVY']",FLC0AI025371B
46,0,"['BEIGE', 'PINK', 'BLACK']",FLC0R9025031A
47,5,"['PINK', 'LGREY']",FLC0DY0T7822A
48,0,"['RUST', 'MUSTARD']",FLC0310T9042A
49,6,['NAVY'],FLC0260U2622A
50,5,['PINK'],FLC0H40T0762A
51,6,['LGREY'],FLC0H40U3342A
52,5,['BLACK'],FLC0R70U3282A
53,6,"['ORANGE', 'NAVY']",FLC051017981A
54,4,['PINK'],FLC0510T0572A
55,2,"['LPINK', 'SKY_BLUE', 'GREY']",FLC0AI024471A
56,4,['LBROWN'],FLC0510T7112A
57,6,['GREY'],FLC0H40U3332A
58,2,"['RED', 'NUDE', 'BLUE']",FLC0260U2552A
59,1,"['BLACK', 'WHITE']",FLC0BA025051A
60,4,['LBLUE'],FLC0510T0792A
61,2,"['ORANGE', 'WHITE', 'OBLUE', 'BLACK']",FLC0Z3022441A
62,0,"['BLACK', 'WHITE']",FLC0Z3028911A
63,6,"['RED', 'SILVER']",FLC0260V3482A
64,0,"['GRAFFITI_WHITE', 'PINK']",FLC0180U6582A
65,0,"['GREY', 'PINK']",FLC0260U2592A
66,1,"['BLACK', 'BLUE']",FLC0G2025001A
67,3,['PURPLE'],FLC0H40T0752A
68,3,['NAVY'],FLC0180T0962A
69,1,"['OWHITE', 'NAVY']",FLC0B3024821B
70,2,['WHITE'],FLC0180V3482A
71,1,"['WHITE', 'BLACK']",FLC0Z3022431A
72,6,"['BLACK', 'NAVY', 'GREY']",FGC026041122A
73,6,"['NAVY', 'BLACK']",FGC0Y9039132A
74,6,"['WHITE', 'GREY', 'CAMEL']",FGC0Z7044742A
75,6,"['NAVY', 'BLACK', 'GREY']",FGC0Z7041612A
76,3,"['BLACK', 'NAVY', 'TAN']",FGC0Z7044752A
77,2,"['BLACK_LGREY', 'NAVY_RED', 'LGREY_RBLUE']",FGC0Y9040822A
78,1,"['GREY', 'NAVY', 'BLACK']",FGC0Z7041642A
79,5,"['SNAYPE', 'DNAVY']",FGC0L4033001A
80,3,"['TEAL', 'DGREY', 'NAVY']",FGC026041142A
81,4,"['DGREY', 'BLACK']",FGC0Y9039142A
82,2,"['NAVY', 'WHITE', 'BLACK']",FGC0Z7040072A
83,1,"['RED', 'BLUE']",FGC0C8012921B
84,2,"['GREY', 'BLACK', 'NAVY']",FGC0Y9041192A
85,7,"['WHITE_BLUE', 'BLACK_GREEN']",FGC0DN0AR892A
86,7,"['LGREY_ORANGE', 'WHITE_BLUE']",FGC0DY0AR872A
87,6,"['BLACK', 'BLUE']",FGC0H40S9622A
88,7,"['BLACK', 'LGREY_YELLOW']",FGC0DN0AR922A
89,7,"['WHITE_BLACK', 'LGREY_BLUE']",FGC0DN0AR882A
90,6,"['BLUE', 'OLIVE']",FGC0H40S7552A
91,6,"['WHITE', 'BLACK']",FGC0H40S9632A
92,5,"['BLACK_RED', 'TEAL_GREY']",FGC0Y9040932A
93,6,"['BLACK', 'BLUE']",FGC0H40S7562A
94,6,"['BEIGE', 'BLACK']",FGC0H40S9642A
95,6,"['RB_BROWN', 'NBLUE']",FGC0Z3024211C
96,6,"['BEIGE', 'GREY']",FGC0510R2012A
97,7,['WHITE'],FGC0DN0AR912A
98,4,"['WHITE', 'BLACK']",FGC0510R2022A
99,5,"['NAVY', 'CASTOR_GREY']",FGC0BB033761A
100,6,"['BLUE', 'GREY']",FGC0H40S7542A
101,6,"['BLACK', 'GREY']",FGC0H40S7572A
102,6,"['GREY', 'BEIGE']",FGC0510R2032A
103,6,['BLACK_LGREY'],FGC0EM0S0152A
104,6,"['OLIVE', 'NAVY']",FGC0H40T3262A
105,6,['BLACK_GREY'],FGC0180T8762A
106,6,"['BLACK', 'WHITE']",FGC0510R1992A
107,6,['BLUE_WHITE'],FGC0180T8752A
108,5,"['DOVE_WHITE', 'WHITE']",FGC0B3025091A
109,4,"['DGREY', 'NAVY', 'BLACK']",FGC051028671A
110,5,['NAVY'],FGC0510S0112A
111,6,['NAVY'],FGC0V2025091A
112,5,['SAND'],FGC0DY0S0072A
113,6,"['LGREY', 'DGREY']",FGC0510R2062A
114,6,['BLUE'],FGC0180V3512A
115,0,"['CAMEL', 'DNAVY']",FGC0G2030171A
116,2,"['GREY', 'BLACK']",FGC0H40U8442A
117,6,['DNAVY'],FGC089024571A
118,6,['WHITE'],FGC0H40U8012A
119,6,['ARMY'],FGC0150S0032A
120,3,"['GREY', 'NAVY', 'BLACK']",FGC0Z7041542A
121,2,"['DGREEN', 'BLACK']",FGC028030281A
122,0,"['NAVY', 'WHITE', 'BLACK']",FGC031039112A
123,3,"['NAVY', 'GREY', 'WHITE']",FGC0Z7041632A
124,4,['NAVY_BROWN'],FGC0150S0042A
125,2,"['WHITE', 'BLACK']",FGC031039122A
126,2,"['CASHEW_BROWN', 'DNAVY']",FGC0L4037411A
127,5,['WHITE'],FGC0H40U8002A
128,5,"['SNAYPE', 'RUST_BROWN', 'BLACK']",FGC0AR025091A
129,1,"['BROWN', 'CAMEL', 'NAVY', 'DIRTY_BROWN']",FGC051019771A
130,5,['BLACK'],FGC0AJ024991A
131,3,['LBROWN_WHITE'],FGC0510S0102A
132,2,"['BLUE', 'GREY', 'BLACK']",FGC0H40U8422A
133,3,"['LGREY', 'AQUA']",FGC0510R2002A
134,1,"['NAVY_GREY', 'BLACK_NAVY']",FGC0510T7812A
135,4,['BLUE'],FGC0510T7052A
136,3,"['GREY', 'BEIGE']",FGC0510R2042A
137,5,"['BLACK', 'WHITE']",FGC0Y9039162A
138,5,"['SNAYPE', 'RUST_BROWN']",FGC0AR025131A
139,1,"['RBLUE', 'GREY', 'CAMEL']",FGC051019021A
140,3,"['BLACK_APPLE_GREEN', 'DGREY']",FGC0Y9040922A
141,1,"['GREY_OWHITE', 'WHITE_GREY', 'NAVY_BLUE']",FGC0Y9040392A
142,4,['GREY'],FGC0180T0592A
143,1,"['DNAVY', 'CAMEL', 'KHAKI']",FGC0GF0R6821Z
144,1,"['NAVY', 'GREY', 'OLIVE']",FGC0Z7040132A
145,0,"['NAVY', 'LGREY', 'BLACK']",FGC0Y9040372A
146,2,"['NAVY', 'GREY', 'BLACK']",FGC0Y9040762A
147,3,"['BLACK', 'NAVY']",FGC0Y9040732A
148,0,"['GREY', 'TEAL', 'BLACK', 'WHITE']",FGC0Y9040752A
149,3,"['GREY_RED', 'BLACK_GREY', 'NAVY_TURQUOISE']",FGC0Y9040902A
150,4,"['NAVY', 'WHITE', 'BLACK']",FGC031039102A
151,0,"['BLACK', 'WHITE', 'DGREY']",FGC0Z7041592A
152,2,['NAVY'],FGC0H40W7082A
153,1,"['BLACK', 'NAVY', 'RED']",FGC0DN032122A
154,1,"['WHITE', 'BLACK']",FGC0Y9040772A
155,3,"['NAVY', 'BLACK']",FGC0Z7040082A
156,1,"['GREY', 'BLACK']",FGC0Z7045232A
157,0,"['BLACK', 'OLIVE_GREEN']",FGC0H4020401A
158,3,['GREY'],FGC0C30V0672A
159,0,"['BLUE', 'GREY']",FGC0H40U8432A
160,3,['NAVY'],FGC0510S0062A
161,2,['GREY'],FGC0260U3112A
162,2,"['OLIVE_BLACK', 'BLACK_WINE']",FGC0Y9032762A
163,1,"['RED_NAVY', 'AQUA_GREY', 'LGREY_RBLUE', 'OLIVE_BLACK']",FGC0Y9032772A
164,2,"['GREY', 'BLACK']",FGC0Y9039172A
165,0,"['OLIVE', 'NAVY', 'GREY']",FGC0Z7039792A
166,1,"['WHITE', 'NAVY', 'GREY']",FGC0Z7041622A
167,2,"['LKHAKI', 'BLACK']",FGC0260U2742A
168,0,"['OLIVE_BLACK', 'GREY_BLUE', 'DGREY_MAROON']",FGC0Y9032092A
169,1,"['NAVY_WHITE', 'DGREY_APPLE_GREEN', 'BLACK_RED']",FGC0Y9040952A
170,2,"['GREY', 'NAVY']",FGC0DY0T7782A
171,0,"['GREY', 'BLACK']",FGC0510R2052A
172,0,"['BLACK', 'GREY']",FGC0Y9037612A
173,0,"['NAVY', 'GREY']",FGC0Z7041562A
174,2,['GREY_GREEN'],FGC0EM0S0162A
175,0,"['WHITE', 'GREY']",FGC0Z7040102A
176,1,['TAUPE'],FGC0150S0122A
177,1,['BROWN'],FGC0DY0S0082A
178,0,"['PARIS_KHAKI', 'DNAVY_4', 'DBROWN']",FGC0L4033131A
179,1,"['DUBAI_KHAKI', 'BLACK', 'OLIVE_GREEN', 'CAMEL']",FGC0L4037301A
180,0,"['NAVY', 'BLACK']",FGC0Y9032792A
181,0,"['BLACK', 'DGREY']",FGC0Z7041652A
